City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zalesovo,53.9939,84.7431,64.29,50,25,15.08,RU,1693884558
83,nanao,37.05,136.9667,88.32,72,73,5.66,JP,1693884559
84,bilibino,68.0546,166.4372,38.75,53,100,8.72,RU,1693884559
85,ribeira grande,38.5167,-28.7,71.78,70,99,13.0,PT,1693884559
86,hobyo,5.3505,48.5268,77.25,77,57,21.25,SO,1693884559
87,tazovsky,67.4667,78.7,44.76,78,23,6.69,RU,1693884560
88,mount isa,-20.7333,139.5,87.57,27,23,9.22,AU,1693884560
89,kirakira,-10.4544,161.9205,80.65,81,91,13.02,SB,1693884320
90,petropavlovsk-kamchatsky,53.0452,158.6483,63.19,45,0,2.24,RU,1693884560
91,ayaviri,-14.8864,-70.5889,46.45,27,82,1.77,PE,1693884561
92,copala,16.65,-98.9833,77.54,93,100,6.98,MX,1693884561
93,bogorodsk,56.1033,43.5158,52.95,94,12,6.17,RU,1693884561
94,belyy yar,53.6039,91.3903,64.29,72,0,4.47,RU,1693884561
95,port elizabeth,-33.918,25.5701,55.69,94,100,13.8,ZA,1693884502
96,isafjordur,66.0755,-23.124,47.61,85,100,10.51,IS,1693884562
97,manga,11.6636,-1.0731,74.26,85,39,6.15,BF,1693884562
98,arteche,12.2645,125.4048,89.42,62,54,6.62,PH,1693884562
99,colonia,50.9333,6.95,68.95,61,0,6.91,DE,1693884454
100,susuman,62.7833,148.1667,52.3,38,21,10.98,RU,1693884563
101,thompson,55.7435,-97.8558,53.76,100,100,0.0,CA,1693884563
102,lata,40.1629,-8.3327,69.82,86,78,7.76,PT,1693884563
103,taesal-li,36.9714,126.4542,78.37,83,92,4.38,KR,1693884564
104,tsiombe,-25.3,45.4833,67.59,70,14,4.09,MG,1693884564
105,enewetak,11.3474,162.3373,84.06,75,98,5.1,MH,1693884565
106,badger,64.8,-147.5333,53.47,84,100,12.66,US,1693884565
107,botshabelo,-29.2702,26.7052,42.17,27,15,4.47,ZA,1693884565
108,zonguldak,41.25,31.8333,57.88,77,87,4.14,TR,1693884565
109,tegueste,28.5167,-16.3167,66.99,87,0,8.05,ES,1693884566
110,suva,-18.1416,178.4415,80.08,74,75,10.36,FJ,1693884566
111,beau vallon,-20.4189,57.6953,71.22,78,40,6.91,MU,1693884566
112,selkirk,50.1436,-96.8845,73.09,85,3,3.0,CA,1693884339
113,mil'kovo,55.6078,37.7956,52.05,78,0,4.14,RU,1693884567
114,hithadhoo,-0.6,73.0833,82.47,74,100,10.92,MV,1693884567
115,san patricio,28.017,-97.5169,86.85,75,54,19.42,US,1693884567
116,margaret river,-33.95,115.0667,61.93,62,87,20.89,AU,1693884568
117,iqaluit,63.7506,-68.5145,38.93,93,100,3.44,CA,1693884568
118,san fernando,15.0286,120.6898,87.53,79,91,8.75,PH,1693884568
119,meadow lake,34.8014,-106.5436,80.08,24,0,7.02,US,1693884568
120,anadyr,64.75,177.4833,48.7,76,75,15.66,RU,1693884569
121,birao,10.2849,22.7882,70.74,96,100,6.73,CF,1693884569
122,beyneu,45.3167,55.2,68.23,42,36,8.46,KZ,1693884569
123,port alfred,-33.5906,26.891,57.18,96,100,4.43,ZA,1693884570
124,jamestown,42.097,-79.2353,72.72,88,0,1.01,US,1693884533
125,mount gambier,-37.8333,140.7667,55.51,43,6,9.82,AU,1693884571
126,anna regina,7.2644,-58.5077,81.48,75,5,8.39,GY,1693884571
